epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,143.3,0.61801,0.76949,1.10894,0.78684,0.73024,0.72832,0.5286,1.04938,1.26822,1.38262,0.000114598,0.000114598,0.000114598
72,144.682,0.56323,0.71631,1.02,0.74856,0.73935,0.72772,0.54071,1.04136,1.22834,1.35108,0.000100572,0.000100572,0.000100572
73,146.038,0.56204,0.70425,1.06091,0.75584,0.75856,0.72697,0.54292,1.04262,1.2328,1.34031,8.79646e-05,8.79646e-05,8.79646e-05
74,147.401,0.54644,0.67138,0.99998,0.73269,0.74981,0.716,0.5408,1.06284,1.24858,1.36192,7.67939e-05,7.67939e-05,7.67939e-05
75,148.762,0.57567,0.6891,0.98621,0.73653,0.75167,0.7198,0.55054,1.06344,1.25051,1.36359,6.70775e-05,6.70775e-05,6.70775e-05
76,150.158,0.62419,0.73266,1.02236,0.8106,0.67605,0.71608,0.53942,1.06463,1.29217,1.36781,5.88304e-05,5.88304e-05,5.88304e-05
77,151.555,0.56292,0.69043,1.04381,0.81112,0.67566,0.71675,0.5443,1.06517,1.29505,1.3714,5.20654e-05,5.20654e-05,5.20654e-05
78,152.946,0.5981,0.74494,1.07764,0.7228,0.77219,0.72587,0.56175,1.06064,1.30964,1.37698,4.67929e-05,4.67929e-05,4.67929e-05
79,154.289,0.57817,0.62877,1.01226,0.73466,0.77219,0.72484,0.56313,1.05318,1.31725,1.37557,4.3021e-05,4.3021e-05,4.3021e-05
80,155.682,0.51771,0.62711,1.00511,0.73662,0.72377,0.73553,0.55573,1.03882,1.33005,1.37615,4.07555e-05,4.07555e-05,4.07555e-05
